h3_index,cuisine_type,competitor_count,avg_rating,total_reviews,rent_index,void_score,latitude,longitude,dominant_zip
884446420bfffff,Live/Raw Food,1,4.0,7568,1747.9091036414566,77.2,29.954274,-90.068965,70130
882a134d45fffff,Candy Stores,1,4.5,5721,2018.4964161653818,74.44,39.953341,-75.158855,19107
884446420bfffff,German,1,4.0,4554,1747.9091036414566,73.56,29.950742,-90.070416,70130
882640c919fffff,Caterers,1,4.5,3999,1502.6492063492062,73.36,38.635147,-90.224003,63103
8844464209fffff,Shopping,1,4.5,3837,1747.9091036414566,72.69,29.942236,-90.067098,70130
8848e8543dfffff,Cocktail Bars,1,4.5,2126,1326.3019794215445,71.44,32.255528,-110.943492,85719
882640c82bfffff,Creperies,1,4.0,1984,1364.1055555555556,71.2,38.631595,-90.194666,63101
88441ac693fffff,Latin American,1,4.0,2860,1921.633484162896,71.17,27.960006,-82.434904,33605
88264d19b3fffff,American (Traditional),1,4.5,2452,1673.772678035178,71.16,36.035175,-86.972013,37221
882a134839fffff,Sandwiches,1,4.0,2686,1848.6956412194506,71.1,40.029494,-75.205971,19128
88264d1227fffff,Burgers,1,4.0,3054,2122.7903737839224,71.02,36.184936,-86.754189,37206
882640c823fffff,Ice Cream & Frozen Yogurt,1,3.5,1567,1364.1055555555556,70.69,38.628864,-90.194542,63101
8844464255fffff,Bakeries,1,4.0,2010,1644.25,70.68,29.948321,-90.075122,70113
8844464203fffff,Flowers & Gifts,1,4.0,1880,1593.8690476190477,70.63,29.957525,-90.061861,70116
8848e8542bfffff,American (New),1,4.0,1295,1236.9766308243727,70.61,32.250763,-110.934132,85716
8844464243fffff,Vegetarian,1,4.5,2084,1747.9091036414566,70.57,29.935799,-90.071906,70130
88264635b7fffff,Barbeque,1,4.5,1627,1477.1495726495725,70.55,38.673459,-90.367448,63132
884446424bfffff,Donuts,1,4.5,2062,1747.9091036414566,70.55,29.929426,-90.077069,70130
8844464203fffff,Delis,1,4.5,1781,1593.8690476190477,70.51,29.958831,-90.061072,70116
8848e8556bfffff,Cheesesteaks,1,4.5,986,1101.2239422084624,70.5,32.236675,-110.865028,85712
882640c835fffff,Seafood,1,4.5,2076,1787.8650793650795,70.48,38.618718,-90.192327,63102
8848e85451fffff,Tapas/Small Plates,1,3.5,1583,1492.9351851851852,70.46,32.225713,-110.974624,85701
88264d1259fffff,Venues & Event Spaces,1,3.0,1639,1576.010371258355,70.37,36.211592,-86.694319,37214
88441a89c3fffff,Arts & Entertainment,1,4.5,2924,2378.3973865640532,70.36,27.931862,-82.4827,33606
882640c9c1fffff,Event Planning & Services,1,4.5,1421,1452.229302832244,70.35,38.610954,-90.202873,63104
882661a211fffff,New Mexican Cuisine,1,4.5,1619,1603.5340951093078,70.29,39.765479,-86.158701,46204
882661a253fffff,Gluten-Free,1,4.0,1608,1603.5340951093078,70.28,39.773307,-86.152091,46204
8829890f41fffff,Resorts,1,2.5,1576,1589.131746031746,70.27,39.533177,-119.755731,89431
882661b553fffff,Local Flavor,1,4.5,573,984.4100274725274,70.23,39.771037,-86.070649,46219
882661a2cdfffff,Beer,1,4.0,1379,1486.9555555555555,70.23,39.759169,-86.146494,46203
8848e85433fffff,Bars,1,4.0,1117,1326.3019794215445,70.22,32.271774,-110.953235,85719
8848e85455fffff,Beer Bar,1,3.5,730,1093.2730158730158,70.21,32.228495,-110.965787,85705
8848e84643fffff,Gastropubs,1,4.5,1210,1398.981656230708,70.19,32.324564,-110.975876,85704
88264d100dfffff,Lounges,1,4.0,1908,1832.6424564215588,70.19,36.158383,-86.767779,37210
88298901d7fffff,Greek,1,4.0,1266,1447.1403133903134,70.17,39.498616,-119.799314,89502
882a134d69fffff,British,1,4.0,2497,2215.0501330430575,70.16,39.951004,-75.170636,19103
